--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83743;01/01/1961;1200;25.8;24.4;89;1003.9;0;0;10;
83743;01/01/1961;1800;30.6;25;62;1001.1;0;0;10;
83743;02/01/1961;0000;27.8;25.3;80;1003.2;0;0;10;
83743;02/01/1961;1200;27;24.8;83;1003;0;0;10;
83743;02/01/1961;1800;30.2;25.3;66;999.6;0;0;10;
83743;03/01/1961;0000;25.8;24.4;89;1001.6;0;0;10;
83743;03/01/1961;1200;26.6;24.4;83;1003.1;0;0;10;
83743;03/01/1961;1800;27.2;23.1;70;1002;18;2;10;
83743;04/01/1961;0000;25.1;23.8;89;1004.8;36;1;9;
83743;04/01/1961;1200;26;23.8;82;1004.3;5;1.5;7;
83743;04/01/1961;1800;27.2;23.9;75;1002.4;14;5.3;6;
83743;05/01/1961;0000;25.6;23.6;84;1004.2;0;0;10;
83743;05/01/1961;1200;26;23.7;82;1005.9;5;1.5;10;
83743;05/01/1961;1800;27;23.8;75;1004.3;14;4.8;10;
83743;06/01/1961;0000;24.6;23.3;89;1005.2;0;0;10;
83743;06/01/1961;1200;28.4;24.8;74;1003.8;0;0;7;
83743;06/01/1961;1800;30.1;26;71;1000.6;14;5.1;6;
83743;07/01/1961;0000;27.8;24.7;76;1001;27;1;10;
83743;07/01/1961;1200;27.6;24.6;78;1004.2;0;0;10;
