--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;01/01/1961;1200;21.7;20.2;88;919.5;32;5.7;10;
83781;01/01/1961;1800;24.8;21.5;74;917.6;27;6.7;10;
83781;02/01/1961;0000;20.5;20.2;97;919.2;32;2.6;10;
83781;02/01/1961;1200;21.6;20.6;91;918.4;32;6.2;10;
83781;02/01/1961;1800;20.9;20.6;97;917.4;23;1.8;10;
83781;03/01/1961;0000;20.1;20;99;918.2;27;2.1;10;
83781;03/01/1961;1200;21.4;19.4;83;919.5;32;2.1;8;
83781;03/01/1961;1800;28;21.4;55;917.6;27;4.1;5;
83781;04/01/1961;0000;20.4;19.2;89;919.5;27;3.1;8;
83781;04/01/1961;1200;21.3;19.9;87;919.8;0;0;10;
83781;04/01/1961;1800;25.2;22.4;79;917.2;18;7.2;9;
83781;05/01/1961;0000;20.7;20;94;920;14;3.6;10;
83781;05/01/1961;1200;21.3;19.8;87;921.2;0;0;10;
83781;05/01/1961;1800;24.2;21.2;77;919.1;18;11.3;10;
83781;06/01/1961;0000;20.7;19.6;90;920.6;14;3.1;10;
83781;06/01/1961;1200;23.8;21.3;80;919.2;36;8.2;8;
83781;06/01/1961;1800;26;21.7;68;917.2;32;9.3;9;
83781;07/01/1961;0000;22.1;20.7;88;917.8;32;3.1;10;
83781;07/01/1961;1200;19.6;19.1;96;921.8;18;2.1;10;
83781;07/01/1961;1800;20.5;18.7;85;921.4;14;4.1;10;
83781;08/01/1961;0000;18.7;18.5;98;923;14;1.5;10;
83781;08/01/1961;1200;20.2;19.2;91;923.5;14;3.6;10;
83781;08/01/1961;1800;20.8;19.6;89;922.3;14;3.1;10;
83781;09/01/1961;0000;18.9;18.6;97;923.8;14;1;10;
83781;09/01/1961;1200;21.7;20.2;88;923.2;0;0;10;
83781;09/01/1961;1800;23;21.3;86;921.2;14;5.1;10;
83781;10/01/1961;0000;20.5;19.8;93;921.8;14;3.6;10;
83781;10/01/1961;1200;23.3;21.1;83;922.2;0;0;9;
83781;10/01/1961;1800;26.4;23.4;77;919.8;18;;10;
83781;11/01/1961;0000;21.7;20.7;91;921.8;0;0;7;
83781;11/01/1961;1200;22.3;20.6;87;922.7;14;2.1;10;
83781;11/01/1961;1800;25.6;20.7;63;922;14;1.4;6;
83781;12/01/1961;0000;19.6;18.6;91;923.6;14;3.1;4;
83781;12/01/1961;1200;23;20.2;78;923.9;9;4.6;8;
83781;12/01/1961;1800;25.6;21.4;68;922.3;18;8.8;6;
83781;13/01/1961;0000;21.1;19.9;89;924.4;14;4.1;6;
83781;13/01/1961;1200;22.4;19.5;76;925;9;2.6;8;
83781;13/01/1961;1800;27.6;20.6;53;921.6;0;0;8;
83781;14/01/1961;0000;21.9;20.4;88;923.9;14;3.1;10;
83781;14/01/1961;1200;22.8;19.9;76;924.2;32;1;8;
83781;14/01/1961;1800;28.9;22.8;58;921.6;0;0;9;
83781;15/01/1961;0000;21.1;19.6;87;923.1;9;2.1;8;
83781;15/01/1961;1200;23.5;20.3;74;923.4;32;3.6;8;
83781;15/01/1961;1800;29.2;22.2;54;921.4;32;6.7;7;
83781;16/01/1961;0000;21.6;20.8;93;923.9;0;0;6;
83781;16/01/1961;1200;23.3;20.8;80;927;0;0;9;
83781;16/01/1961;1800;28.8;21.9;54;921.6;32;4.6;5;
83781;17/01/1961;0000;23.3;21.2;84;923.4;5;3.6;3;
83781;17/01/1961;1200;24.9;20.4;66;926.3;36;3.6;10;
83781;17/01/1961;1800;29.8;22.5;52;924.6;32;4.1;7;
83781;18/01/1961;0000;22.6;19.8;77;926.2;36;1;5;
83781;18/01/1961;1200;26.2;21.1;63;927.6;32;1;7;
83781;18/01/1961;1800;30.6;22.3;48;924.8;32;4.1;6;
83781;19/01/1961;0000;20.3;20.2;99;929.8;9;1.5;10;
83781;19/01/1961;1200;24;21.4;79;928;0;0;10;
83781;19/01/1961;1800;24.2;21.2;77;925.9;23;7.2;10;
83781;20/01/1961;0000;19.3;18.4;91;927;0;0;10;
83781;20/01/1961;1200;23.5;20.8;78;925.8;32;3.6;5;
83781;20/01/1961;1800;27.6;22.1;61;923.1;27;6.2;8;
83781;21/01/1961;0000;22.6;21.4;89;925;9;2.6;10;
83781;21/01/1961;1200;22.2;20.7;88;924.8;23;2.6;7;
83781;21/01/1961;1800;29.2;21.7;51;921.4;27;3.1;7;
83781;22/01/1961;0000;22.5;21.3;89;923.1;0;0;10;
83781;22/01/1961;1200;23.3;21.6;87;923.5;0;0;8;
